"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 21 17:04:43 CST 2022","Wed Sep 21 17:04:56 CST 2022","12654","test_cases.company","test_Company_homepage","TestCompanyHomePage","","","点击新品区",""
"broken","Wed Sep 21 16:17:13 CST 2022","Wed Sep 21 16:18:00 CST 2022","47057","test_cases.common","test_modify_personal_information","TestModifyPersonalInfomation","","","修改生日",""
"passed","Wed Sep 21 17:31:40 CST 2022","Wed Sep 21 17:31:57 CST 2022","17060","test_cases.company","test_New_product_area","TestNewProductArea","","","产品收藏",""
"passed","Wed Sep 21 16:34:33 CST 2022","Wed Sep 21 16:35:18 CST 2022","44812","test_cases.common","test_shop","TestShop","","","定位地址",""
"passed","Wed Sep 21 15:31:28 CST 2022","Wed Sep 21 15:31:42 CST 2022","14763","test_cases.common","test_Product_search","TestProductSearch","","","推荐厂商",""
"passed","Wed Sep 21 18:08:22 CST 2022","Wed Sep 21 18:08:41 CST 2022","18936","test_cases.company","test_Video_area","TestVideoArea","","","产品收藏",""
"passed","Wed Sep 21 15:34:19 CST 2022","Wed Sep 21 15:34:51 CST 2022","32267","test_cases.common","test_Product_search","TestProductSearch","","","是否模糊",""
"passed","Wed Sep 21 17:03:55 CST 2022","Wed Sep 21 17:04:08 CST 2022","12577","test_cases.company","test_Company_homepage","TestCompanyHomePage","","","点击搜索按钮",""
"passed","Wed Sep 21 15:26:00 CST 2022","Wed Sep 21 15:26:30 CST 2022","30083","test_cases.common","test_Figure_search","TestFigureSearch","","","图搜-旋转",""
"passed","Wed Sep 21 17:06:20 CST 2022","Wed Sep 21 17:06:32 CST 2022","12182","test_cases.company","test_Company_homepage","TestCompanyHomePage","","","点击视频区",""
"passed","Wed Sep 21 15:33:33 CST 2022","Wed Sep 21 15:34:08 CST 2022","35292","test_cases.common","test_Product_search","TestProductSearch","","","搜索类型",""
"broken","Wed Sep 21 17:42:50 CST 2022","Wed Sep 21 17:43:32 CST 2022","42075","test_cases.company","test_ShowroomHomePage","TestShowroomHomePage","","","查看更多",""
"passed","Thu Feb 02 16:44:03 CST 2023","Thu Feb 02 16:44:04 CST 2023","246","api.testcase.ExhibitionHall","test_3D_product_api","TestLogin","","","test_Random_Select_Role",""
"passed","Wed Sep 21 18:02:05 CST 2022","Wed Sep 21 18:02:22 CST 2022","17096","test_cases.company","test_Spot_area","TestSpotArea","","","产品搜索",""
"passed","Wed Sep 21 16:12:12 CST 2022","Wed Sep 21 16:12:54 CST 2022","41779","test_cases.common","test_mail_list","TestMailList","","","处理好友请求",""
"passed","Wed Sep 21 16:42:50 CST 2022","Wed Sep 21 16:43:00 CST 2022","10020","test_cases.common","test_visitor_register","TestVisitorLogin","","","厂商游客登录","厂商游客登录"
"broken","Wed Sep 21 16:26:48 CST 2022","Wed Sep 21 16:27:28 CST 2022","39415","test_cases.common","test_set_up","TestSetUp","","","个人信息",""
"passed","Wed Sep 21 15:29:04 CST 2022","Wed Sep 21 15:29:31 CST 2022","26571","test_cases.common","test_Product_search","TestProductSearch","","","历史记录搜索",""
"passed","Wed Sep 21 16:36:19 CST 2022","Wed Sep 21 16:36:53 CST 2022","34272","test_cases.common","test_shop","TestShop","","","推荐产品加购",""
"broken","Wed Sep 21 18:00:41 CST 2022","Wed Sep 21 18:01:28 CST 2022","46988","test_cases.company","test_ShowroomHomePage","TestShowroomHomePage","","","展厅类目-产品查询",""
"passed","Wed Sep 21 17:29:30 CST 2022","Wed Sep 21 17:29:43 CST 2022","13433","test_cases.company","test_New_product_area","TestNewProductArea","","","点击24小时新品",""
